,title,url
200,Urban Lab awarded Leverhulme funding for artist-in-residence to explore 'hidden security',https://www.ucl.ac.uk/urban-lab/news/2014/jul/urban-lab-awarded-leverhulme-funding-artist-residence-explore-hidden-security
201,Cities Methodologies Spring 2014: Buildings on Fire - towards a new approach to urban memory,https://www.ucl.ac.uk/urban-lab/news/2014/jun/cities-methodologies-spring-2014-buildings-fire-towards-new-approach-urban-memory
202,Audio from Cities Methodologies Spring 2014: Learning to Walk roundtable,https://www.ucl.ac.uk/urban-lab/news/2014/may/audio-cities-methodologies-spring-2014-learning-walk-roundtable
203,Beacon Bursary awarded to UCL Urban Laboratory,https://www.ucl.ac.uk/urban-lab/news/2014/may/beacon-bursary-awarded-ucl-urban-laboratory
204,The Acoustic City,https://www.ucl.ac.uk/urban-lab/news/2014/may/acoustic-city
205,Cities Methodologies 2014: Call for Proposals,https://www.ucl.ac.uk/urban-lab/news/2014/may/cities-methodologies-2014-call-proposals
206,Cities Methodologies Spring 2014 open 28 April - 2 May,https://www.ucl.ac.uk/urban-lab/news/2014/apr/cities-methodologies-spring-2014-open-28-april-2-may
207,Urban Lab representation at the 7th World Urban Forum,https://www.ucl.ac.uk/urban-lab/news/2014/apr/urban-lab-representation-7th-world-urban-forum
208,Audio from 'Derek Jarman: Sites and Spaces' study day available,https://www.ucl.ac.uk/urban-lab/news/2014/apr/audio-derek-jarman-sites-and-spaces-study-day-available
209,Urban Laboratory academics feature in BBC programme 'The Country Formerly Known as London',https://www.ucl.ac.uk/urban-lab/news/2014/mar/urban-laboratory-academics-feature-bbc-programme-country-formerly-known-london
210,Ben Campkin on Derek Jarman's King's Cross in 3:AM Magazine,https://www.ucl.ac.uk/urban-lab/news/2014/mar/ben-campkin-derek-jarmans-kings-cross-3am-magazine
211,Cities Methodologies Spring 2014,https://www.ucl.ac.uk/urban-lab/news/2014/mar/cities-methodologies-spring-2014
212,Matthew Gandy lectures on 'Periodicities and metabolisms' at Harvard,https://www.ucl.ac.uk/urban-lab/news/2014/feb/matthew-gandy-lectures-periodicities-and-metabolisms-harvard
213,New publication available from the Development Planning Unit/ACHR Junior Professionals Programme,https://www.ucl.ac.uk/urban-lab/news/2014/feb/new-publication-available-development-planning-unitachr-junior-professionals-programme
